index	username	time	comment	star
6	Phil	20200725	應該說是料很多，但沒想像中驚艷，之後應該不會專程為此排隊。	3
7	李霈穎	20200725	"來嘉義之前就有聽說御香屋還不錯喝，但是想說只是飲料也沒特別排進行程要買，結果到嘉義租車時，連店員都推薦要來喝喝看，叫我們打電話來訂比較不用等那麼久（我們一開始還不相信，幸好有先打來訂，到現場真的嚇到我啦🤣）人有夠多！打電話來訂說大約30分去拿😨

跟朋友各點了香吉士百香綠茶及柳橙綠茶
香吉士百香綠茶裡面有加些許的葡萄柚果粒😍整體就是酸酸甜甜的還有話梅的味道 就是好喝🥰🥰"	5
8	彭馨儀	20200725	雖然等待時間偏長，但值得。凍頂檸檬茶很消暑、順口，會讓人想回購	5
9	PJOHN Liu	20200725	None	5
0	apple Huang	20200725	None	4
1	李宜錚	20200725	"好喝連喝了三天
電話打不通的話可以打二店！
二店內容物一樣電話好打很多！"	4
2	薛福仁	20200725	每次來都很多人，但飲品其實還好，可能因為排隊讓我覺得沒那個價值，不排隊算是不錯的飲料	5
3	賴佳煜	20200725	果然會這麼多人 完全不意外 真的好喝又便宜 嘉義人的驕傲 在地人可以打電話先訂 不用等	5
4	hellominaaa	20200725	還沒營業就有人排隊	4
5	陳妍霏	20200725	"(由 Google 提供翻譯) 真的好好喝，葡萄柚的那款真的好喝

(原始評論)
真的好好喝，葡萄柚的那款真的好喝"	5
6	Leo Chen	20200725	去了三趟沒有排到	1
7	段阿妃	20200725	None	5
8	Sophia Sun	20200725	建議電話先預訂，不過要打很多通才會通，店員態度非常好，葡萄柚好喝。	5
9	Bianca Wang	20200725	"男友帶我來嘉義。
看了知名youtuber大推後非常想喝喝看這評價極高的葡萄柚綠。中午11:30左右排隊的人不少，很幸運等了約10分鐘就能買到，店員建議點半糖少冰加一顆梅子，果肉很多，每一口都能喝到滿滿葡萄柚，梅子有畫龍點睛的效果。
除了圓環這間，在林聰明本店那條路上也有新開一間分店，如果計劃好要吃林聰明，抽完號碼牌等叫號的同時可以買杯喝喝，很自以為的建議不用特地為此杯排隊15分以上，炎熱的7月天，放過自己吧。"	4
0	侯Winnie	20200725	None	5
1	Amos Chang	20200725	葡萄柚綠茶很特別！	5
2	ihsin Lin	20200725	"(由 Google 提供翻譯) 好喝只是要等很久

(原始評論)
好喝只是要等很久"	4
3	薛宇靜	20200725	這次點的是紅葡萄柚綠茶，葡萄柚果肉很多，酸酸的但不會苦澀，綠茶的部分加了梅子，有一種很自然的甜味，整體喝起來很順口，推推！	5
4	陳禹甯	20200725	None	5
5	吳嘉玲	20200725	葡萄柚綠茶好喝	5
6	LUNG	20200725	"全嘉義最忙碌的飲料店

原本要打電話預約但要等一小時，

想說去現場碰碰運氣 ，

結果發現排隊等更快，

點餐等待不到半個小時就拿到了。

比想像中的還要快速！

點了推薦的葡萄柚綠茶（半糖少冰）$60中杯
裡面有加話梅，口味跟外面的喝起來不一樣。

有些飲料店的喝多了會有苦澀感，
但這裡的喝起來並不會且順口。

用料實在，每一口都喝得到果肉，
雖然店裡小小一間擠滿很多店員

但店員的態度都很良好

停車方面可能要附近找停車場 🅿️

我自己是跑到附近停車場走五分鐘到達

在等待飲料同時時常聽到警察杯杯來趕人"	5
7	buddy C.	20200718	傳說中的味道就留在傳說吧！	3
8	小光	20200718	這間真的不知道為什麼都在排隊，只能說網路的引力太過強大，很久以前喝過一次就絕對不會再喝的店，推薦買其他各大連鎖飲料店(麻古、大苑子、鮮自然....等等)隨便挑一間都完勝這家，第一次慕名想去體驗的真的勸退，千萬別為了網路推薦加上大排長龍就盲目踩雷，不然就是點一杯朋友們一起試味道就好，除非你喜歡喝 又酸、又苦、又澀 的果汁，信我者得永生！！！！！	1
9	Eva Wang	20200718	"嘉義必點！
2020年7月，葡萄柚有點酸澀"	5
0	Kabie Liu	20200718	"來到嘉義，必喝御香屋的葡萄柚綠～
滿滿果肉是其他飲料店做不到的⋯
重點是
一定要加梅子
一定要加梅子
一定要加梅子

酸甜滋味才能體會！"	5
1	Boru Chen	20200718	"非常多人排隊
想喝要早點來
$60 葡萄柚香綠茶
葡萄柚的果肉非常多
點無糖也有果肉的甜味
再配上梅子 
酸甜好喝"	5
2	Matt Liu	20200718	還可以	3
3	楊舒涵	20200718	葡萄柚綠茶可以吃到果粒，非常推薦~	5
4	KK	20200718	不收三倍卷，態度不佳	1
5	Alana Chen	20200718	葡萄柚綠茶跟凍頂檸檬茶都很好喝，比較喜歡凍頂檸檬茶	5
6	Sunkist	20200718	None	3
7	宋麗欣	20200718	None	4
8	U Y	20200718	None	5
9	Y PIN	20200718	喝過了還好，口味就只是普通的水果果汁加綠茶而已。	2
0	Vincent Liu	20200718	None	3
1	Hsin	20200718	料好實在 有機會會再光顧	5
2	飛俠旭	20200718	None	5
3	余昊哲	20200718	"(由 Google 提供翻譯) 最喜歡的商店

(原始評論)
愛店"	5
4	李先生	20200718	嚐鮮 嚐鮮	4
5	杜仲教學	20200718	葡萄柚綠茶與柳丁綠茶必點，記得電話先訂，不然要排一小時	5
6	YS P	20200718	來嘉義必喝！真材實料！	5
7	劉瑞瑞	20200718	因爲葡萄柚綠賣完了只好點香吉士綠，ㄧ開始發現沒有果粒所以有點小失望⋯還好有加ㄧ顆梅子待泡開後，味道蠻搭的 還不錯！只是不知道為什麼喝多了會覺得嘴巴澀澀的～～	4
8	yozin Cheng	20200718	None	5
9	黃馨儀	20200718	None	5
0	Ton Reggate	20200718	體驗排隊買葡柚綠	4
1	林家榮	20200718	香吉士百香果綠 不會太酸 可以加梅子 很不錯	4
2	Selena Chung	20200718	好喝但要等很久，建議打電話訂完再去拿，多了很多分店，不用一定要再本店買	5
3	cleverdrama	20200718	"百香綠還可
但排的人潮真的太多了"	4
4	喬伊海豹	20200718	非常適合嚐鮮，飲料果肉每口都有！但就是人太多⋯⋯	4
5	詹芳芳	20200718	葡萄柚綠茶，果粒多、香甜、淡淡梅子味很開胃，不枉排隊很久才買到！！！	5
6	毛毛	20200718	"香吉士百香綠茶~
喝的到果粒和百香果的籽，
感覺得出來是真材實料的，
不過真的太酸了!!
四季春茶~
喝起來茶香很足，
而且會微微回甘，
是好喝的茶^^"	4
7	張靖彤	20200718	"葡萄柚綠果肉多 但味道普通 越喝越渴
其他飲料普通 不值得排隊等待"	3
8	雅媜	20200718	葡萄柚綠茶好喝~	4
9	賴建宏	20200711	只有外地人會買吧	1
0	Thomas Yao	20200711	None	3
1	Chu-Ge Jiam	20200711	生意不知道在好幾點的，感覺普通，就一般飲料店。	4
2	蔡茹萍	20200711	None	5
3	阿米米	20200711	None	5
4	Bonnie Lai	20200711	"10點開門，提早15分鐘排到第一位
點了葡萄柚綠茶&凍頂檸檬茶
個人口味覺得還好，沒有到這麼浮誇
但有時間的人還是可以喝喝看"	3
5	柏逸	20200711	None	4
6	鄭元勝	20200711	None	4
7	廖白娜	20200708	None	4
8	朱湘瑄	20200708	沒有網路上的評價那麼好喝，也有可能是我點餐飲料😅！	3
9	Star Dai	20200708	電話一次打通未接，後續幾乎是刻意拿掉話筒佢接。這樣電購的意義何在？整體觀感很差勁	1
0	森保羅	20200708	排隊的人很多，但是流動速度算快，小等一下就拿到了，滿好喝的，店員也親切介紹店裡招牌！	5
1	Yuki CHANG	20200708	"新鮮的葡萄柚果肉加上一顆梅子
100%絕配
想來嘉義喝這個美味
一定要記得打電話預訂（本店跟二店）
在過去拿
這樣才不會等太久"	4
2	柚	20200708	人潮多，嘉義必來的地方，推凍頂檸檬，但要排隊喔	5
3	SHAN	20200708	None	4
4	唐一二	20200708	名店，葡萄柚綠茶的果粒大又飽滿，喝不停 😋加梅子對於很快喝完的人沒什麼感覺，畢竟梅子要泡，店家應該也沒用熱水先泡開。	4
5	陳彥學	20200708	覺得沒有想像中那麼好喝，但是還算順口和解渴	4
6	yo yo Wang	20200708	凍頂檸檬，好喝，茶不苦不澀檸檬提味，店家推薦半糖，甜味剛好，不會太膩，讚！	5
7	陳宗佑	20200708	"打電話想預定「葡萄柚綠茶」嚐鮮，
但店員告知已售完，只好改別的飲品。
到現場後才發現店內明明還很多！！
店員還出來跟排隊顧客推銷他的招牌「葡萄柚綠茶」
黑人問號？
如果事先告知需現場排隊才能購買就算了，為什麼要騙大老遠慕名而來的顧客說賣完了呢？
感覺很不好！下次不會再來了！"	1
8	噱雨瞳	20200708	員工訓練不加，等半個小時才說飲料沒了，可憐吶	1
9	邱敬皓HAO HAO	20200708	是鬼吧，秀爆所有葡萄柚綠，沒什麼苦味也不會酸，甜度冰塊店內推薦的很剛好！	5
0	YuPing	20200708	"人潮真的很多，光是打電話就打了一百多通，電話預約取飲料，到現場要記得排隊哦～
認真覺得好喝，但是不太常喝酸的朋友，可能到最後會受不了😂"	5
1	陳阿杰	20200708	"(由 Google 提供翻譯) 好喝

(原始評論)
好喝"	5
2	Kevin正港台灣人	20200708	"葡萄柚綠茶加梅子
好喝👍
喝過才知道的黃金比例"	5
3	Miya Lin	20200708	電話完全打不進去	1
4	joy Meow	20200708	凍頂檸檬🍋超特別推推！	5
5	Morgan Yu	20200708	"招牌飲料很好喝
推薦

雖然說可以打電話訂
可是打了一小時打不通很困擾"	4
6	Ting shian Liou	20200708	"真的很普通，算是好喝的。
分店很多的那些鎖飲料店風味更勝。
唯一驚艷的是菊花茶好純。讚！"	4
7	鍾庭	20200708	第一次喝到那麼難喝的葡萄柚綠茶，喝第一口，就丟了，一杯還60元。總共買了8杯，只有有糖的2杯有喝，其餘沒人要喝，全丟掉。從來沒寫過評論的我真的不得不寫一次	1
8	Nicol Tan	20200708	葡萄柚綠讚！	5
9	Fong Beauty	20200708	"買單拿了號碼牌
先去吃吃別的
在回來拿剛好就不用排了
不好停車
警察會來
葡萄柚果肉很多
洛神很香
但好像沒有好喝到需要排隊的程度"	4
0	Tammy Lin	20200708	葡萄柚綠茶，凍頂檸檬，百香綠茶，超好喝，店員超親切。	5
1	土熊Kuma	20200708	"嗯...就一般飲料
沒傳說中那麼神
排隊蠻久
好吧 反正就飲料
但是不錯喝"	4
2	Sam Hsieh	20200708	中正二店還沒創卡點 還不錯吸引人流分批消費	5
3	陳慧珠	20200708	"本來覺得其它家的果茶也可以這麼好喝，沒想到喝過一次之後，隔天再喝大苑子的百香果綠茶。

怎麼差這麼多！
御香屋的味道真的太濃太過癮了

排隊是有它的理由，值得"	5
4	王冠璋	20200708	None	4
5	FEYFEY CHEN	20200708	"可惜去的前一天是葡萄柚產季尾聲
所以沒喝到招牌～～～
但百香果也是超～好喝的唷！"	5
6	康法德	20200708	None	5
7	斑林Benlin	20200708	"就是一杯蠻普通的水果飲品 排隊排超久...
大苑子真的都比較好喝啦!"	2
8	BKSTARS007	20200708	"車可以去停中央廣場地下停車場，
走路到這裡不用幾分鐘。
假日人多，值不值得等要自己來體會了。"	5
9	洪聖堯	20200708	None	5
0	Eddy	20200708	路邊紅線有科技執法，前來的遊客注意臨停一定會被開單喔！東西好喝經過必買。就只是停車問題比較頭大，記得先打電話訂假日至少一個小時	4
1	HungEn Yang	20200708	"扣一星因爲都排到爆
但真的很好喝"	4
2	Brian Chen	20200708	紅茶不太好喝...有澀	3
3	秋山深一	20200708	總店人潮太多，可以往二店購買	4
4	文祺	20200708	None	4
5	Tsai Tim	20200708	紅鑽葡萄柚及柳橙百香一定要點來喝！炎熱高溫喝上一杯解憂又解熱，喝無糖店家會加上一顆梅子口感很棒🤤	5
6	盧義宏	20200708	都來嘉義了一定要來葡柚綠一下	5
7	Carina	20200708	None	5
8	真田幸村	20200708	真材實料，這次真的報復性消費，12杯	5
9	潘定維	20200708	None	5
0	yin yu	20200708	None	4
1	李柏範	20200708	基本上水果飲料都好喝，但是如果要排隊很久的話強烈建議喝葡萄柚綠才會有值得等候的感覺！	5
2	Diego Lin	20200708	這葡萄柚綠茶真的好喝  不會有葡萄柚的苦味 又帶有一點梅子味	5
3	Hsiang Küo	20200708	喝得出來是用心的，警察也很認真驅趕違規臨停。讚	4
4	Jye R	20200708	None	4
5	陳資惠	20200708	"(由 Google 提供翻譯) 人山人海的人潮

(原始評論)
人山人海的人潮"	4
6	王曉薇	20200708	None	4
7	Eileen Hung	20200708	"人很多隊伍排很長，但是不會等太久
點梅子綠，不是檸檬梅子綠，但不知為何還是有加檸檬🤔
可能因為有這片檸檬所以有點苦，如果沒有的話會蠻好喝的"	3
8	CHINGCHING LO	20200708	葡萄柚綠一貫的好喝，其實其他品項也不賴喔！例如仙草茶、菊花茶等，非常扎實的用料，每次到訪必喝！	5
9	Chun Aaron	20200708	"•﻿
Ig:Aaronchun0711

【御香屋】﻿
-﻿
懷 念 大 學 生 活 的 時 候，來 一 杯﻿ 馬 上 入 魂
·﻿
·﻿
·﻿
每次喝「葡萄柚綠」時，感覺又重新愛上它﻿
大概是目前印象最深刻的手搖杯飲料﻿
﻿
很奇妙的是，雖然間隔半年、一年回嘉﻿
買御香屋時，總覺得店員每個都熟面孔﻿
﻿
即使前陣子開了二店，排隊人潮一樣洶湧﻿
驕傲地覺得喝了四年﻿，偶爾陪你們排隊也沒關係﻿
﻿
✂️ - - - - - - - - - - - - - - - - - - - - - - - - - - - -﻿
📌  #御香屋﻿
🔺  嘉義市中山路321號（本店）
🔍  #嘉義美食 #嘉義飲料 #Chun食嘉義"	5
0	Hui Hsuan Huang	20200708	去了二店，比一店空間大，葡萄柚綠好喝。	4
1	橘子	20200708	"排隊比想像中多快 排隊加取飲料一小時上下
點葡萄柚綠茶比想像中的好喝 我點無糖的
剛開始喝很苦 但喝到最後很順口 又有梅子多味道！"	5
2	賈炎叡	20200708	喜歡葡萄柚綠茶	5
3	SF C	20200708	None	4
4	Jimmy Hsieh	20200708	"金鑽葡萄柚綠茶
凍頂檸檬值得排隊一試"	5
5	anson Huang	20200708	洛神檸檬好喝 消暑必備 四顆星是因為等太久	4
6	Joy Chen	20200708	在地招牌必喝，但是葡萄柚還沒出來(差兩天)，就拍著招牌看一下。	3
7	tina	20200708	"酸甜感不錯喝
檸檬的大推"	5
8	Martin Lin	20200708	None	5
9	趙盈翔	20200708	葡萄柚綠茶，建議打電話預定，免等待	5
0	Chen Kenneth	20200708	None	3
1	林均鴻	20200708	超難喝⋯有夠苦又澀又酸！不知道為什麼會紅⋯	1
2	張雅惠	20200708	"下午17:00左右去幾乎葡萄柚綠茶都賣光了
另外點百香綠茶加梅子不錯喝！"	4
3	Lynn	20200708	來客眾多需排隊、等待	4
4	大金	20200708	"1:地處圓環 真的很不方便
停車問題需要改善🅿️

2:當日點選了 洛神花茶

明明點了半糖
來了喝下 顏色很不健康
還特別的酸 也很甜
無法形容

排隊這麼久！換來的卻是失望的飲料🥤

名氣大過於美味的店家"	3
5	VICKY TSENG	20200708	"(由 Google 提供翻譯) 招牌超棒

(原始評論)
招牌超棒"	5
6	吳思瑩	20200708	None	5
7	郭俊佑	20200708	None	5
8	Sunny	20200708	None	4
9	小威	20200708	"名氣相當大，排隊人潮誇張多。
明星品項　葡萄柚綠　的確是特別。
味道非常鹹甜酸，喜歡重口味的會覺得好喝。
但已經沒有大杯，中杯要６０就看是否要來嘗鮮了。

建議可以打電話到二店預約，否則可能要排１小時。"	4
0	紀柏羽	20200708	"嘉義排隊名店，排隊前記得先問問想要的飲料還有沒有唷!
個人覺得水果系列都不錯"	5
1	Google 使用者	20200708	好喝，生意真好，我特麼真想投資一千萬入股，可惜沒門路	5
2	Caboom Duke	20200708	葡萄柚綠茶滿滿果肉配上梅子及綠茶茶香，完美！	5
3	April Chen	20200708	"真的很好喝 料很多
推薦要加梅子 後面梅子的味道會出來
下次去嘉義也會特地買
要打電話比較方便
前面幾次可能打不進去
多打幾通電話一定會通！"	5
4	Yin	20200708	"可事先打電話預定
葡萄柚綠茶果肉很多
但喝起來沒有到驚艷程度"	4
5	Hsun Cheng	20200708	"炎熱的夏天適合來這裡買杯果汁
葡萄柚綠跟檸檬凍頂不錯"	5
6	張家魁	20200708	None	5
7	James Liu	20200708	None	4
8	蕭逸廷	20200708	全世界的人都跑來嘉義了！今天排很久沒買到招牌葡萄柚綠茶，凍頂檸檬跟香吉士綠茶還行～👍🏻	4
9	羅建福	20200708	None	3
0	陳彥鈞	20200708	會只有給4顆星，是因為等太久了，可能要考慮一下訂單數量的控制，要不然其實葡萄柚綠好喝	4
1	Puchen Jian	20200708	None	5
2	陳薏婷	20200708	超多人！！！氣死！！！根本喝不到！！！但是朋友說蠻好喝的，還是留個四顆星，耶✌	4
3	黃阿亮	20200708	None	5
4	Jhou柏緯	20200708	None	5
5	Chewei Chen	20200708	"可能因為太天然太健康
我覺得沒有特別好喝"	3
6	洪蕙茹	20200708	除了葡萄柚綠茶，非常推薦凍頂檸檬！茶與檸檬的酸甜，潤喉順口又解暑！	5
7	Penny Chen	20200708	非常希望葡萄柚綠茶能提供L杯，喜歡加梅子但一不小心就會太鹹。哎~想喝心目中L杯半糖微冰的黃金比例，好難😥	5
8	Hsieh Wayne	20200708	好喝，可是難停車而且要排隊排好久	4
9	Ruby Lin	20200708	"2020/05/20

葡萄柚綠茶真的很棒，有很多新鮮果肉，又香又好喝。自備環保杯扣 $2 後是 $58。因為是離峰去買的，所以一下子就拿到了。"	5
0	仙人掌	20200708	"我覺得沒有到大排長龍的程度
點了葡萄柚綠跟凍頂檸檬茶，果味夠，微糖甜度剛好，但檸檬的澀跟葡萄柚的苦會比較明顯
總之是可以的飲料店，但我覺得我不會為此排隊"	3
1	林家和	20200708	位於嘉義噴水圓環邊，小小的一個飲料店確每次都是人滿滿走道	4
2	Gill Chang	20200708	葡萄柚綠茶很好喝	4
3	kiki	20200708	非常好喝順口，檸檬完全不酸澀，總算知道為什麼生意這麼好，建議打電話去然後再去拿，免得排隊排太久。	4
4	Carina Chen	20200708	"葡萄柚綠茶 $60 只有做中杯尺寸
裡面的果粒都是很紮實 很新鮮的！
現場也是大排長龍 來嘉義必買之一
不想排隊可以先打電話預訂～"	5
5	張小婷	20200708	真的很好喝，只是要等比較久，口味上也不會過甜，店員動作都蠻快的！	4
6	阿信	20200708	"人非常多～附近不好停車
建議電話訂購，約一小時不須排隊"	5
7	Mia Fan	20200708	"去的時候葡萄柚綠賣完了
點了梅子綠茶
有加檸檬，喝起來蠻清香的👍
店員很親切"	5
8	WEI WEI	20200708	"這邊的人潮真的是多的誇張～～～
雖然第一天去排隊時葡萄柚綠茶已經賣完了😭
所幸決定隔天打電話來訂☎️
他們是10:00開始營業 我們從10:04狂打了73通電話才接通（因為一直在電話中）

但是這種需要排隊的美味能夠打電話訂購真的很完美😊😊
不用忍受大太陽的洗禮就心存感恩了🤣😂

而且➕梅子真的好好喝❤️"	4
9	張育寧	20200708	料多實在，來嘉義必買👍	5
0	蕭盈音	20200708	生意超好人超多 飲料好喝	5
1	Wei Han Chen	20200708	"現在喝鮮奶茶跟葡萄柚真的都很普通
Cp值不及66元又只有中杯 真的貴爆
幾年前喝感覺不錯
別因為名氣整個大變調啊～"	2
2	youxuan Wang	20200708	"覺得推薦的半糖太甜了
下次有機會再點微糖"	4
3	Debby Ho	20200708	None	5
4	優格	20200708	葡萄柚綠茶真的好喝，果肉很多。	5
5	劉建鴻	20200708	None	5
6	張聖玄	20200708	None	4
7	阿駿	20200708	"(由 Google 提供翻譯) 等很久但值得好喝

(原始評論)
等很久但值得好喝"	5
8	阮逸修	20200708	葡萄柚綠超好喝	5
9	羅健文	20200708	要幫貴店家行銷，還一副我們雞婆的樣子！	1
0	Chin yu wen	20200708	葡萄柚香味搭配綠茶，味道調配剛剛好喝順口。	4
1	Mei	20200708	"不用排隊可以買來喝看看，味道不錯！
如果要排隊就...😅"	5
2	李蓓蓓	20200708	None	4
3	卡洛	20200708	None	5
4	Pass Liaw	20200708	電話都打不進去...	4
5	qqpp li	20200608	葡萄柚綠茶加梅子，在炎熱潮溼的夏天根本絕配，超級好喝！十分鐘喝完一杯👍	5
6	陳奕孝	20200608	建議十一點前來排隊人潮比較少，或是先打電話預約。	5
7	汪汪仔	20200608	"每一口都可以喝到葡萄柚的果肉
很好喝，不喜歡梅子可以不要加
可以電話預定不用現場排這麼久"	5
8	呂毓	20200608	"(由 Google 提供翻譯) 不行 太酸了...

(原始評論)
不行 太酸了..."	1
9	翁承宥	20200608	推薦葡萄柚綠茶👍	5
0	ShouPing Wang	20200608	None	4
1	陳致瑋	20200608	嘉義圓環的第一飲料店，但可惜的是五月下旬葡萄柚賣完了，只好買柳橙綠茶過過癮。	4
2	賴建忠	20200608	None	5
3	tahsiu Huang	20200608	None	5
4	黃柏瑞	20200608	"好幾年前價格就跟現在依樣ㄌ
以現在引寮店水果系列的價格來看珍ㄉ佛"	5
